Text ID,Comment,Max char limit,Asian char limit,English,Japanese,Korean,TChinese,French,German,Spanish Spain,Spanish LatAm,Portuguese,Italian,Turkish,Arabic,Thai,Swedish,Polish,French limit,German limit,sp-ES limit,sp-M9 limit,pt-BR limit,it limit,tur limit,ara limit,thai limit,swe limit,pol limit,jp limit,kor limit,cht limit,
settings screenshake,settings element for toggling screenshake,12,8,Screenshake,画面揺れ,화면 흔들림,螢幕震動,Tremb. écran,Bildschirmrütteln,Vibración de pantalla,Temblor,Tela: tremor,Scuotimento,Ekran Sarsma,اهتزاز الشاشة,หน้า​จอ​สั่น,Skärmskakning,Drgania ekranu,12,12,12,12,12,12,12,12,12,12,12,8,8,8,
settings fullscreen,settings element for toggling fullscreen,12,8,Fullscreen,フルスクリーン,전체 화면,全螢幕模式,Plein écran,Vollbild,Pantalla completa,Pant. comp.,Tela cheia,Schermo intero,Tam Ekran,شاشة كاملة,เต็ม​หน้า​จอ,Helskärm,Tryb pełnoekranowy,12,12,12,12,12,12,12,12,12,12,12,8,8,8,
settings widemode,settings element for toggling wide mode,12,8,Wide mode,ワイドモード,와이드 모드,寬螢幕模式,Mode large,Breitbild,Panorámico,Modo amplio,Modo amplo,Panoramico,Geniş mod,الوضع العريض,โหมด​กว้าง,Bred bild,Tryb szerokoekranowy,12,12,12,12,12,12,12,12,12,12,12,8,8,8,
settings return,button to return to pause menu,12,8,Return,戻る,돌아가기,返回,Retour,Zurück,Volver,Regresar,Retornar,Indietro,Geri dön,العودة,ย้อน​กลับ,Återvänd,Powrót,12,12,12,12,12,12,12,12,12,12,12,8,8,8,
settings confirm text,dialogue asking to confirm if it's ok to restart game following the toggling of certain setting,64,32,This will restart the game!\nAre you sure?,この操作はゲームを再起動します！\nよろしいですか？,이러면 게임이 다시 시작됩니다!\n그렇게 하시겠어요?,變更後將重啟遊戲！\n是否確定？,Le jeu redémarrera !\nVoulez-vous continuer ?,Dadurch wird das Spiel neu gestartet! Fortfahren?,¡La partida se reiniciará!\n¿Seguro que quieres continuar?,¡Reiniciarás el juego!\n¿En serio quieres reiniciar?,Esta ação reiniciará o jogo!\nTem certeza?,Il gioco verrà riavviato!\nVuoi continuare?,Bu oyunu yeniden başlatacak!\nEmin misin?,سيعيد هذا إعادة تشغيل اللعبة!\nهل أنت متأكد؟,ตัว​เลือก​นี้​จะ​รี​สตาร์ท​เกม!​\nแน่ใจ​หรือ​ไม่?,Det här startar om spelet!\nÄr du säker?,To spowoduje restart gry!\nNa pewno chcesz kontynuować?,64,64,64,64,64,64,64,64,64,64,64,32,32,32,
settings accept,button for accepting [settings confirm text],12,8,Accept,はい,확인,確定,Accepter,Bestätigen,Aceptar,Aceptar,Aceitar,Accetta,Kabul et,الموافقة,ยอมรับ,Godkänn,Akceptuj,12,12,12,12,12,12,12,12,12,12,12,8,8,8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
service text GC,header text for leaderboard sign in screen on iOS,64,32,Please sign in to Game Center to continue,続けるにはGame Centerにサインインしてください,계속하려면 Game Center에 로그인하세요,請先登入Game Center,Veuillez vous connecter au Game Center pour continuer,Melde dich zum Fortfahren bitte beim Game Center an.,Inicia sesión en Game Center para continuar,Inicia sesión en Game Center para continuar,Acesse o Game Center para continuar,Accedi a Game Center per continuare,Lütfen devam etmek için Game Center'a giriş yap,يُرجى تسجيل الدخول إلى Game Center للاستمرار,โปรด​ลงชื่อ​เข้า​ใช้​ Game​ Center​ เพื่อ​ดำเนิน​การ​ต่อ,Logga in på Game Center för att fortsätta,"Zaloguj się do usługi Game Center, aby kontynuować",64,64,64,64,64,64,64,64,64,64,64,32,32,32,
service text GPS,header text for leaderboard sign in screen on Android,64,32,Please sign in to Google Play Games to continue,続けるにはGoogle Play Gamesにサインインしてください,계속하려면 Google Play 게임에 로그인하세요,請先登入Google Play遊戲,Veuillez vous connecter à Google Play Jeux pour continuer,Melde dich zum Fortfahren bitte bei Google Play Games an.,Inicia sesión en Google Play Games para continuar,Inicia sesión en Google Play Games para continuar,Acesse o Google Play Games para continuar,Accedi a Google Play Giochi per continuare,Lütfen devam etmek için Google Play Games'e giriş yap,يُرجى تسجيل الدخول إلى Google Play Games للاستمرار,โปรด​ลงชื่อ​เข้า​ใช้​ Google​ Play​ Games​ เพื่อ​ดำเนิน​การ​ต่อ,Logga in på Google Play Games för att fortsätta,"Zaloguj się do usługi Google Play Games, aby kontynuować",64,64,64,64,64,64,64,64,64,64,64,32,32,32,
service text retry,"message displayed to the player when they fail to sign in to one of the above services, due to an error or them cancelling the process",64,32,Sign in was unsuccessful. Please try again.,サインインできませんでした,로그인 실패. 다시 시도해 보세요.,登入失敗，請再試一次。,"Échec de la connexion, veuillez réessayer.","Anmeldung fehlgeschlagen, bitte versuche es erneut.",No se ha podido iniciar sesión. Inténtalo de nuevo.,Se produjo un error al iniciar sesión; inténtalo de nuevo.,Falha ao acessar. Tente novamente.,Accesso non riuscito. Riprova.,Giriş başarısız oldu. Lütfen tekrar dene.,فشل تسجيل الدخول. يُرجى المحاولة مجددًا.,ลงชื่อ​เข้า​ใช้​ไม่​สำเร็จ​ โปรด​ลอง​อีก​ครั้ง,Kunde inte logga in. Försök igen.,Logowanie się nie powiodło. Spróbuj ponownie.,64,64,64,64,64,64,64,64,64,64,64,32,32,32,
service sign in button,button the starts the sign in process,16,8,Sign In,サインイン,로그인,登入,Se connecter,Anmelden,Iniciar sesión,Iniciar sesión,Acessar,Accedi,Giriş Yap,تسجيل الدخول,ลงชื่อ​เข้า​ใช้,Logga in,Zaloguj się,16,16,16,16,16,16,16,16,16,16,16,8,8,8,
service back button,button that exists the sign-in confirmation screen and returns to the pause menu,12,8,Back,戻る,뒤로,返回,Retour,Zurück,Atrás,Atrás,Voltar,Indietro,Geri,العودة,กลับ,Tillbaka,Cofnij,12,12,12,12,12,12,12,12,12,12,12,8,8,8,
service retry button,button that re-tries signing in. this is only shown after the player tries and fails to sign in once before,12,8,Retry,再試行,다시 시도,重試,Réessayer,Erneut,Reintentar,Reintentar,Repetir,Riprova,Tekrar dene,أعد المحاولة,ลอง​ใหม่,Försök igen,Spróbuj ponownie,12,12,12,12,12,12,12,12,12,12,12,8,8,8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
leaderboards title,title across the top of the leaderboards screen,16,8,Leaderboards,ランキング,순위표,排行榜,Classement,Rangliste,Clasificación,Marcadores,Placares,Classifiche,Liderlik panosu,لوحة المتصدرين,กระดาน​คะแนน,Topplista,Tablice wyników,16,16,16,16,16,16,16,16,16,16,16,8,8,8,
leaderboards highest,text for a button indicating that the leaderboard shows the single highest score for players,16,8,Score,ハイスコア,점수,最高得分,Score,Punktestand,Puntuación,Puntuación,Pontuação,Punteggio,Puan,النتيجة,คะแนน,Poäng,Wynik,16,16,16,16,16,16,16,16,16,16,16,8,8,8,
leaderboards average,text for a button indicating that the leaderboard shows the highest average score for players,16,8,Average,最高平均値,평균,平均得分,Moyenne,Durchschnitt,Promedio,Promedio,Média,Medio,Ortalama,المتوسط,เฉลี่ย,Snitt,Średnia,16,16,16,16,16,16,16,16,16,16,16,8,8,8,
leaderboards global,text for a button indicating that the leaderboard shows global scores,16,8,Global,グローバル,전체,全球得分,Mondial,Weltweit,Global,Global,Global,Globale,Küresel,عالمية,ทั่ว​โลก,Global,Globalnie,16,16,16,16,16,16,16,16,16,16,16,8,8,8,
leaderboards friends,text for a button indicating that the leaderboard shows scores only for the player’s friends,16,8,Friends,フレンド,친구,好友得分,Amis,Freunde,Amigos,Amigos,Amigos,Amici,Arkadaşlar,الأصدقاء,เพื่อน,Vänner,Znajomi,16,16,16,16,16,16,16,16,16,16,16,8,8,8,
leaderboards loading,message displayed to the player when a leaderboard is loading,16,8,Loading...,ロード中,불러오는 중...,讀取中……,Chargement...,Lädt ...,Cargando...,Cargando...,Carregando...,Caricamento...,Yükleniyor...,جارٍ التحميل…,กำลัง​โหลด..,Laddar...,Ładowanie…,16,16,16,16,16,16,16,16,16,16,16,8,8,8,
leaderboards updating,message displayed to the player when a leaderboard is updating,16,8,Updating,更新中,업데이트 중,正在更新,Mise à jour,Aktualisiert ...,Actualizando,Actualizando,Atualizando,Aggiornamento,Güncelleniyor,جارٍ التحديث,กำลัง​อัปเดต,Uppdaterar,Aktualizacja,16,16,16,16,16,16,16,16,16,16,16,8,8,8,
leaderboards failed title,"title text, displayed in orange-red, for the message displayed to the player when a leaderboard failed to load",32,16,Failed to load leaderboard,ランキングを取得できませんでした,순위표를 불러오지 못했습니다,排行榜讀取失敗,Classement non téléchargé,Rangliste nicht geladen,Error al cargar la clasificación,Error al cargar el marcador,Falha ao carregar o placar,Caricamento classifica fallito,Liderlik panosu yüklenemedi,فشل تحميل لوحة المتصدرين,โหลด​กระดาน​คะแนน​ไม่​สำเร็จ,Kunde inte ladda topplistan,Nie udało się załadować tablicy wyników,32,32,32,32,32,32,32,32,32,32,32,16,16,16,
leaderboards failed text,"body text, displayed in white, for the message displayed to the player when a leaderboard failed to load",32,16,Please try again later,時間をおいてから再試行してください,나중에 다시 시도해 보세요,請稍後再試,Veuillez réessayer plus tard,Bitte versuche es später erneut.,Inténtalo de nuevo más tarde,Inténtalo de nuevo más tarde,Tente novamente mais tarde,Riprova più tardi,Lütfen daha sonra tekrar dene,يرجى المحاولة لاحقاً,โปรด​ลอง​อีก​ครั้ง​ภาย​หลัง,Försök igen senare,Spróbuj ponownie później,32,32,32,32,32,32,32,32,32,32,32,16,16,16,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gacha button get,a button to press / tap on to get an item after selecting it,10,6,GET,これにする,받기,取得,OBTENIR,EINSAMMELN,OBTENER,OBTENER,OBTER,OTTIENI,AL,الحصول على,รับ,VÄLJ,WEŹ,10,10,10,10,10,10,10,10,10,10,10,6,6,6,
gacha button confirm,a button to press / tap on to confirm getting an item (displays after [gacha button get]),10,6,CONFIRM?,本当に？,결정하셨나요?,確定？,CONFIRMER ?,BESTÄTIGEN?,¿ACEPTAR?,CONFIRMAR,CONFIRMAR?,CONFERMI?,ONAYLA?,التأكيد؟,ยืนยัน​หรือ​ไม่?,BEKRÄFTA?,NA PEWNO?,10,10,10,10,10,10,10,10,10,10,10,6,6,6,
gacha button equip,a button to press / tap on to go to equipment screen after getting a new item,10,6,EQUIP,装備する,장착,裝備,ÉQUIPER,AUSRÜSTEN,EQUIPAR,EQUIPAR,EQUIPAR,USA,KUŞAN,التجهز,ติด​ตั้ง,ANVÄND,WYPOSAŻ,10,10,10,10,10,10,10,10,10,10,10,6,6,6,
gacha button return,a button to press / tap on to return to previous screen,10,6,RETURN,もどる,돌아가기,返回,RETOUR,ZURÜCK,VOLVER,REGRESAR,RETORNAR,INDIETRO,GERİ DÖN,العودة,ย้อน​กลับ,ÅTERVÄND,POWRÓT,10,10,10,10,10,10,10,10,10,10,10,6,6,6,
gacha pick one,header text to instruct player to pick one item from a selection of 3,10,10,PICK ONE!,１つえらんでね,하나를 고르세요!,三選一！,CHOISIR UN,1 WÄHLEN!,¡ELIGE 1!,ELIGE UNO,PEGUE UM!,SCEGLI!,SEÇİM YAP!,اختر أحد الخيارات,เลือก​หนึ่ง​ชิ้น!,VÄLJ EN!,WYBIERZ JEDNO!,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ability menu header replace,header text that displays when selecting an ability to replace for another,10,6,REPLACE?,とりかえる？,바꾸시겠어요?,確定取代？,REMPLACER ?,TAUSCHEN?,¿CAMBIAR?,¿CAMBIAR?,TROCAR?,CAMBIO?,DEĞİŞTİR?,استبدال؟,แทนที่​หรือ​ไม่?,ERSÄTT?,ZASTĄPIĆ?,10,10,10,10,10,10,10,10,10,10,10,6,6,6,
ability menu select equip,verb text that displays above the selected ability to signify that pressing on it again will equip the ability,10,6,equip,装備,장착,裝備,équiper,ausrüsten,equipar,equipar,equipar,usa,kuşan,جهز,ติด​ตั้ง,använd,wyposaż,10,10,10,10,10,10,10,10,10,10,10,6,6,6,
ability menu select remove,verb text that displays above the selected ability to signify that pressing on it again will remove the ability,10,6,remove,はずす,제거,移除,retirer,entfernen,quitar,quitar,remover,rimuovi,kaldır,إزالة,ถอด,ta bort,usuń,10,10,10,10,10,10,10,10,10,10,10,6,6,6,
ability menu select replace,verb text that displays above the selected ability to signify that pressing on it again will replace the ability,10,6,replace,とりかえる,교체,取代,remplacer,tauschen,cambiar,cambiar,trocar,cambia,değiştir,استبدال,แทนที่,ersätt,zastąp,10,10,10,10,10,10,10,10,10,10,10,6,6,6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reward jump orb,for displaying when you receive this reward as a result of accumulating experience points,20,10,You got a JUMP ORB,ジャンプ玉が増えた！,점프 오브를 받았습니다,獲得「跳跳球」,Reçu : ORBE DE SAUT,SPRUNGKUGEL erhalten,¡1 ORBE DE SALTO!,¡ORBE DE SALTO!,ORBE DE PULO,Ottenuto: SFERA SALTO,ZIPLAMA KÜRESİ aldın,حصلت على كرة قفز,คุณ​ได้​ลูกแก้ว​กระโดด​หนึ่ง​ลูก,Du fick ett HOPPKLOT,Otrzymujesz KULĘ SKOKU,20,20,20,20,20,20,20,20,20,20,20,10,10,10,
reward equipment slot,for displaying when you receive this reward as a result of accumulating experience points,20,10,You got an EQUIPMENT SLOT,装備スロットが増えた！,장비 슬롯을 받았습니다,獲得「裝備欄」,Reçu : EMPL. ÉQUIP.,AUSRÜSTUNGSPLATZ erhalten,¡1 ESPACIO EQUIP.!,¡RANURA DE EQUIPAMIENTO!,ESPAÇO DE EQUIPAMENTO,Ottenuto: SLOT OGGETTI,EKİPMAN YUVASI aldın,حصلت على موضع معدات,คุณ​ได้​สล็อต​อุปกรณ์​หนึ่ง​สล็อต,Du fick en UTRUSTNINGSPLATS,Otrzymujesz MIEJSCE W EKWIPUNKU,20,20,20,20,20,20,20,20,20,20,20,10,10,10,
reward rescue heart,for displaying when you receive this reward as a result of accumulating experience points,20,10,You got a MINUTE HEART,１分ハートをゲット！,1분 하트를 받았습니다,獲得「時間心」,Reçu : CŒUR MINUTE,MINUTENHERZ erhalten,¡1 CORAZÓN DE MINUTO!,¡CORAZÓN DE RESCATE!,CORAÇÃO TEMPORÁRIO,Ottenuto: CUORE MINUTO,Bir SÜRE CANI aldın,حصلت على قلب الدقائق,คุณ​ได้​หัวใจ​นาที​หนึ่ง​ดวง,Du fick ett MINUTHJÄRTA,Otrzymujesz MINUTOWE SERCE,20,20,20,20,20,20,20,20,20,20,20,10,10,10,
reward money,for displaying when you receive this reward as a result of accumulating experience points,20,10,You got GOLDEN SEEDS,金のタネをゲット！,황금 씨앗을 받았습니다,獲得「金種子」,Reçu : GRAINES D'OR,GOLDSAMEN erhalten,¡SEMILLAS DE ORO!,¡SEMILLAS DORADAS!,SEMENTES DOURADAS,Ottenuto: SEMI D'ORO,ALTIN TOHUM aldın,حصلت على بذور ذهبية,คุณ​ได้​เมล็ด​ทองคำ,Du fick GULDFRÖN,Otrzymujesz ZŁOTE NASIONKA,20,20,20,20,20,20,20,20,20,20,20,10,10,10,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
area name jungle,name for area with jungle with vines as a central gimmick,16,8,Viny Jungles,ジャングル地帯,덩굴 정글,蔓生叢林,Jungle de lianes,Rankendschungel,Selva de lianas,Selva de lianas,Bosque dos Cipós,Profonda giungla,Sarmaşıklı Orman,الغابة الكثيفة,ป่า​เถา​องุ่น,Klätterdjungeln,Dżungla Winorośli,16,16,16,16,16,16,16,16,16,16,16,8,8,8,
area name aqua,name for area with an underwater theme with air bubbles as a central gimmick,16,8,Bubbly Waterway,プカプカ水脈,방울 물길,泡沫水路,Flots pétillants,Blubberwasserweg,Canal burbujeante,Mar de burbujas,Borbulhiço,Fiume di bolle,Kabarcıklı Kanal,نهر الفقاقيع,ทาง​น้ำ​ฟอง​ฟอด,Bubbelbukten,Bąbelkowy Szlak,16,16,16,16,16,16,16,16,16,16,16,8,8,8,
area name mines,name for area with a mine theme with explosive jump pads as a central gimmick,16,8,Boom Boom Mines,ドカボカ坑道,쿵쾅 광산,轟隆礦坑,Mines Boum Boum,Krawummsminen,Minas Bum bum,Minas explosivas,Mina Cabum,Miniere minate,Bum Bum Madenleri,منجم الانفجارات,เมือง​ตูมตาม,Pangpanggruvan,Kopalnie Bum Bum,16,16,16,16,16,16,16,16,16,16,16,8,8,8,
area name temple,name for area with an ancient temple theme with cannons as a central gimmick,16,8,Cannon Temple,タイホー神殿,대포 사원,火砲神廟,Temple du canon,Kanonentempel,Templo del cañón,Templo del cañón,Templo do Canhão,Tempio esplosivo,Toplu Tapınak,معبد المدافع,วิหาร​ปืน​ใหญ่,Kanontemplet,Świątynia Dział,16,16,16,16,16,16,16,16,16,16,16,8,8,8,
area name outerspace,name for the final area with an outer space theme,16,8,Outer Space,アウタースペース,우주 공간,星際宇宙,Espace sidéral,Weltall,Espacio cósmico,Espacio sideral,Espaço Sideral,Spazio cosmico,Dış Uzay,الفضاء الخارجي,อวกาศ,Yttre rymden,Kosmos,16,16,16,16,16,16,16,16,16,16,16,8,8,8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main game instruction,tutorial text that displays when playing the game for the first time. The thing we're feeding is fruit juice,64,32,Make some juice for the angry beast!,カイブツにジュースをあげて怒りをなだめよう！,화난 괴물에게 줄 주스를 만드세요!,努力榨果汁，餵飽肚子空空的野獸！,Faites du jus pour le monstre en colère !,Mach dem wütenden Monster Saft!,¡Prepara un poco de zumo para el monstruo hambriento!,¡Prepara jugo para la Bestia enojada!,Faça suco para o fominha!,Prepara del succo per la bestia feroce!,Kızgın canavar için meyve suyu yap!,اصنع بعض العصير للوحش الغاضب!,ทำ​น้ำ​ผลไม้​ให้​สัตว์​ร้าย​ที่​กำลัง​โกรธ!,Gör saft åt det arga monstret!,Przygotuj sok dla złej bestii!,64,64,64,64,64,64,64,64,64,64,64,32,32,32,
main game start,"short text that displays the moment the game starts, right after the above string. can be something along the lines of GO, START, BEGIN etc",16,8,GO!,スタート！,시작!,開始！,C'EST PARTI !,LOS!,¡YA!,¡VAMOS!,VAI!,VIA!,HADİ!,انطلق!,ไป!,BÖRJA!,START!,16,16,16,16,16,16,16,16,16,16,16,8,8,8,
main game notification new area,for displaying when the player has discovered a new area for the first time,32,16,NEW AREA\nDISCOVERED,新しいとこに来た！,새 구역\n발견,發現\n新區域,NOUVELLE ZONE\nDÉCOUVERTE,NEUES GEBIET\nENTDECKT,NUEVA ÁREA\nDESCUBIERTA,NUEVA ZONA\nDESCUBIERTA,NOVA ÁREA\nDESCOBERTA,SCOPERTA\nNUOVA AREA!,YENİ BÖLGE\nKEŞFEDİLDİ,تم اكتشاف\nمنطقة جديدة,ค้น​พบ\nพื้นที่​ใหม่​แล้ว,NYTT OMRÅDE\nHITTAT,ODKRYTO\nNOWĄ MAPĘ,32,32,32,32,32,32,32,32,32,32,32,16,16,16,
main game notification final stretch,"text that displays when the player enters the final sequence of the main game, to convey the end is near",32,16,FINAL STRETCH!,ファイナルステージ！,거의 다 왔어요!,最終挑戰！,DERNIÈRE LIGNE DROITE !,ZIELSTRECKE!,¡ÚLTIMO TRAMO!,¡RECTA FINAL!,RETA FINAL!,CI SEI QUASI!,SON DÜZLÜK!,المرحلة النهائية!,ทาง​ตรง​ช่วง​สุดท้าย!,SISTA STRÄCKAN!,OSTATNI ETAP!,32,32,32,32,32,32,32,32,32,32,32,16,16,16,
main game notification x remaining,text that displays after [finalseq final stretch] to notify the player they have this many tasks left to finish the game,32,16,%1% juice(s) remaining...,あと%1%ジュースでクリア！,주스 %1%개 남음...,還差%1%份果汁……,Encore %1% jus...,Noch %1% Saft/Säfte ...,Queda %1% de zumo...,%1% más...,Falta(m) %1% de suco(s)...,Succo rimasto: %1%,%1% meyve suyu kaldı...,تبقى %1% من العصير…,เหลือ​น้ำ​ผลไม้ %1%..,%1% saft kvar...,Zostało %1% soku…,32,32,32,32,32,32,32,32,32,32,32,16,16,16,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main game UI juice ready,text that appears over the recipe UI when the requirement has been filled and is ready to be juiced,6,6,READY,準備ＯＫ,준비 끝,完成,PRÊT,BEREIT,DALE,LISTO,PRONTO,PRONTO,HAZIR,جاهز,พร้อม,REDO,GOTOWE,6,6,6,6,6,6,6,6,6,6,6,6,6,6,
main game UI juice done,text that appears over the recipe UI for a brief moment right after the juice is done,6,6,DONE!,できた！,완성!,榨果汁！,FAIT !,DA!,LISTO,¡YA!,ISSO!,FATTO!,TAMAM!,تم!,เรียบร้อย!,KLAR!,UDAŁO SIĘ!,6,6,6,6,6,6,6,6,6,6,6,6,6,6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main game UI cancel jump,text that appears over the player UI when they're about to cancel out of a jump,,,CANCEL,キャンセル,취소,取消,ANNULER,ABBR.,CANCELAR,CANCELAR,CANCELAR,ANNULLA,İPTAL ET,إلغاء,ยกเลิก,AVBRYT,ANULUJ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main game UI level,unit for the difficulty level accompanied by its value in %1%,8,6,Level %1%,レベル %1%,레벨 %1%,難度%1%,Niveau %1%,Level %1%,Nv. %1%,Nivel %1%,Nvl. %1%,Liv. %1%,%1%. Seviye,مستوى %1%,เลเวล %1%,Nivå %1%,Poziom %1%,8,8,8,8,8,8,8,8,8,8,8,6,6,6,
main game UI level up,a text that pops up when you level up,12,8,LEVEL UP!,レベルアップ！,레벨업!,難度提升！,NIVEAU + !,LEVEL UP!,¡+1 NIVEL!,NUEVO NIVEL,NÍVEL +!,LIVELLO+!,SEVİYE ARTIŞI,رُفع المستوى,เลเวล​เพิ่ม!,NY NIVÅ!,KOLEJNY POZIOM!,12,12,12,12,12,12,12,12,12,12,12,8,8,8,
main game UI juice bonus,text to accompany the bonus score received by collecting excessive fruits,10,6,BONUS,ボーナス,보너스,加分,BONUS,BONUS,BONUS,BONO,BÔNUS,BONUS,BONUS,إضافية,โบนัส,BONUS,BONUS,10,10,10,10,10,10,10,10,10,10,10,6,6,6,
main game UI extra bonus,cool text to display to praise the player when they are collecting excessive fruits,12,12,EXTRA\nBONUS,サービス\nボーナス,추가\n보너스,超級\n加分,BONUS\nSUP.,EXTRA-\nBONUS,FRUTAS\nEXTRA,BONO\nEXTRA,BÔNUS\nEXTRA,BONUS\nEXTRA,EK\nBONUS,نقاط\nإضافية,โบนัส\nพิเศษ,EXTRA-\nBONUS,DODATKOWY\nBONUS,12,12,12,12,12,12,12,12,12,12,12,12,12,12,
